Time Stamp, Pressure [Pa], SystemState, Alarm State 
Thu 2020-05-07 02:00:50.250 CEST,9176768,13,0
Thu 2020-05-07 02:00:50.500 CEST,9178374,13,0
Thu 2020-05-07 02:00:50.750 CEST,9179683,13,0
Thu 2020-05-07 02:00:51.0 CEST,9180160,13,0
Thu 2020-05-07 02:00:51.250 CEST,9181132,13,0
Thu 2020-05-07 02:00:51.500 CEST,9181761,13,0
Thu 2020-05-07 02:00:51.750 CEST,9183931,13,0
Thu 2020-05-07 02:00:52.0 CEST,9186447,13,0
Thu 2020-05-07 02:00:52.250 CEST,9188965,13,0
Thu 2020-05-07 02:00:52.500 CEST,9189311,13,0
Thu 2020-05-07 02:00:52.750 CEST,9190261,13,0
Thu 2020-05-07 02:00:53.0 CEST,9191707,13,0
Thu 2020-05-07 02:00:53.250 CEST,9194392,13,0
Thu 2020-05-07 02:00:53.500 CEST,9195866,13,0
Thu 2020-05-07 02:00:53.750 CEST,9198260,13,0
Thu 2020-05-07 02:00:54.0 CEST,9200605,13,0
Thu 2020-05-07 02:00:54.250 CEST,9202248,13,0
Thu 2020-05-07 02:00:54.500 CEST,9204197,13,0
Thu 2020-05-07 02:00:54.750 CEST,9206105,13,0
Thu 2020-05-07 02:00:55.0 CEST,9206849,13,0
Thu 2020-05-07 02:00:55.250 CEST,9209517,13,0
Thu 2020-05-07 02:00:55.500 CEST,9210191,13,0
Thu 2020-05-07 02:00:55.750 CEST,9211478,13,0
Thu 2020-05-07 02:00:56.0 CEST,9214050,13,0
Thu 2020-05-07 02:00:56.250 CEST,9216746,13,0
Thu 2020-05-07 02:00:56.500 CEST,9218448,13,0
Thu 2020-05-07 02:00:56.750 CEST,9220197,13,0
Thu 2020-05-07 02:00:57.0 CEST,9221515,13,0
Thu 2020-05-07 02:00:57.250 CEST,9224266,13,0
Thu 2020-05-07 02:00:57.500 CEST,9224816,13,0
Thu 2020-05-07 02:00:57.750 CEST,9227183,13,0
Thu 2020-05-07 02:00:58.0 CEST,9229512,13,0
Thu 2020-05-07 02:00:58.250 CEST,9230976,13,0
Thu 2020-05-07 02:00:58.500 CEST,9231987,13,0
Thu 2020-05-07 02:00:58.750 CEST,9234521,13,0
Thu 2020-05-07 02:00:59.0 CEST,9236241,13,0
Thu 2020-05-07 02:00:59.250 CEST,9237594,13,0
Thu 2020-05-07 02:00:59.500 CEST,9239166,13,0
Thu 2020-05-07 02:00:59.750 CEST,9240698,13,0
Thu 2020-05-07 02:01:00.0 CEST,9241422,13,0
Thu 2020-05-07 02:01:00.250 CEST,9242585,13,0
Thu 2020-05-07 02:01:00.500 CEST,9244306,13,0
Thu 2020-05-07 02:01:00.750 CEST,9246141,13,0
Thu 2020-05-07 02:01:01.0 CEST,9247246,13,0
Thu 2020-05-07 02:01:01.250 CEST,9250090,13,0
Thu 2020-05-07 02:01:01.500 CEST,9251125,13,0
Thu 2020-05-07 02:01:01.750 CEST,9253773,13,0
Thu 2020-05-07 02:01:02.0 CEST,9255485,13,0
Thu 2020-05-07 02:01:02.250 CEST,9258087,13,0
Thu 2020-05-07 02:01:02.500 CEST,9259852,13,0
Thu 2020-05-07 02:01:02.750 CEST,9261474,13,0
Thu 2020-05-07 02:01:03.0 CEST,9263501,13,0
Thu 2020-05-07 02:01:03.250 CEST,9265090,13,0
Thu 2020-05-07 02:01:03.500 CEST,9267577,13,0
Thu 2020-05-07 02:01:03.750 CEST,9269345,13,0
Thu 2020-05-07 02:01:04.0 CEST,9270792,13,0
Thu 2020-05-07 02:01:04.250 CEST,9272136,13,0
Thu 2020-05-07 02:01:04.500 CEST,9274762,13,0
Thu 2020-05-07 02:01:04.750 CEST,9277065,13,0
Thu 2020-05-07 02:01:05.0 CEST,9277852,13,0
Thu 2020-05-07 02:01:05.250 CEST,9280551,13,0
Thu 2020-05-07 02:01:05.500 CEST,9281898,13,0
